Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	1933.4761668578358	1933.4761668578358	1933.4761668578358	1933.4761668578358	1933.4761668578358	1933.4761668578358	1.8
0.0	0.0	0.0	0.0	0.0	0.0	1956.4077267891241	1956.4077267891241	1956.4077267891241	1956.4077267891241	1956.4077267891241	1956.4077267891241	1.84
1733.4393942674253	1733.4393942674253	1733.4393942674253	1733.4393942674253	1733.4393942674253	1733.4393942674253	1733.4393942674253	1595.0100873399224	1587.5445872330906	1592.3753204162444	1590.4497300583955	1566.4950962408689	1.88
1701.7701458199308	1701.7701458199308	1701.7701458199308	1701.7701458199308	1701.7701458199308	1701.7701458199308	1701.7701458199308	1521.9641550821586	1507.2164474838037	1528.474353629884	1545.1489383013216	1552.3451585638682	1.92
1692.3481432711055	1692.3481432711055	1692.3481432711055	1692.3481432711055	1692.3481432711055	1692.3481432711055	1692.3481432711055	1475.0719904406353	1438.5891265316686	1466.7217235077421	1504.3874126257126	1543.2637554550543	1.96
1709.2729629390449	1709.2729629390449	1709.2729629390449	1709.2729629390449	1709.2729629390449	1709.2729629390449	1709.2729629390449	1438.4837279263527	1411.4966761400535	1495.4874972424448	1555.792632901542	1602.6982103969435	2.0
1724.2938436372758	1724.2938436372758	1724.2938436372758	1724.2938436372758	1724.2938436372758	1724.2938436372758	1724.2938436372758	1417.0283762647214	1405.7020645263997	1506.6173431246975	1572.976672553803	1633.5479344147814	2.04
1763.3885347532753	1763.3885347532753	1763.3885347532753	1763.3885347532753	1763.3885347532753	1763.3885347532753	1763.3885347532753	1408.4842988902712	1435.8363792094574	1543.1690421589296	1658.687074853313	1704.503470277213	2.08
1787.9713353920272	1787.9713353920272	1787.9713353920272	1787.9713353920272	1787.9713353920272	1787.9713353920272	1787.9713353920272	1440.9696780204072	1579.8622370246628	1756.4484215820967	1797.335992677324	1792.3266327965814	2.12
1786.4438995369633	1786.4438995369633	1786.4438995369633	1786.4438995369633	1786.4438995369633	1786.4438995369633	1786.4438995369633	1443.7065531817348	1674.8317436470036	1768.7664101039934	1795.4841428405025	1798.5129874026372	2.16
1797.1936985354369	1797.1936985354369	1797.1936985354369	1797.1936985354369	1797.1936985354369	1797.1936985354369	1797.1936985354369	1432.048863387366	1682.5331118760798	1758.743296113045	1789.9983381794984	1810.6196852282164	2.2
1792.8225443961842	1792.8225443961842	1792.8225443961842	1792.8225443961842	1792.8225443961842	1792.8225443961842	1792.8225443961842	1434.921525209465	1644.7209318135822	1739.5062735135057	1778.0698303644328	1811.090806640272	2.24
1779.1825414208763	1779.1825414208763	1779.1825414208763	1779.1825414208763	1779.1825414208763	1779.1825414208763	1779.1825414208763	1421.8542249995883	1618.3328602914835	1705.0441577773609	1752.3150523687677	1787.6343144351254	2.28
1748.4157714609141	1748.4157714609141	1748.4157714609141	1748.4157714609141	1748.4157714609141	1748.4157714609141	1748.4157714609141	1392.366364093666	1434.9337638403592	1603.5092137136814	1702.9942869804424	1731.0176317906269	2.32
1737.622164596246	1737.622164596246	1737.622164596246	1737.622164596246	1737.622164596246	1737.622164596246	1737.622164596246	1378.7878699938337	1361.1135896912804	1521.76411990896	1589.1127456921456	1684.2119239555368	2.36
1745.5103564570622	1745.5103564570622	1745.5103564570622	1745.5103564570622	1745.5103564570622	1745.5103564570622	1745.5103564570622	1383.5250159858037	1412.1591969638096	1479.3157182440084	1590.2692335382305	1674.5696716934158	2.4
1760.0064223590211	1760.0064223590211	1760.0064223590211	1760.0064223590211	1760.0064223590211	1760.0064223590211	1760.0064223590211	1389.1311392922914	1452.5740646320714	1603.5423816224488	1682.8250971654647	1732.1412262083277	2.44
1767.5071112254145	1767.5071112254145	1767.5071112254145	1767.5071112254145	1767.5071112254145	1767.5071112254145	1767.5071112254145	1401.8226928651718	1449.86202746092	1602.894880726527	1672.1204516100117	1708.1722127452522	2.48
1757.416544291305	1757.416544291305	1757.416544291305	1757.416544291305	1757.416544291305	1757.416544291305	1757.416544291305	1411.9887804886744	1480.1895126666227	1606.1123926879927	1679.1913210837383	1704.5950873022257	2.52
1750.1041845883478	1750.1041845883478	1750.1041845883478	1750.1041845883478	1750.1041845883478	1750.1041845883478	1750.1041845883478	1405.5306829348779	1481.3114928052112	1618.9946755476856	1687.8807251681903	1716.4492153388167	2.56
1735.0870841826509	1735.0870841826509	1735.0870841826509	1735.0870841826509	1735.0870841826509	1735.0870841826509	1735.0870841826509	1391.5732614114881	1502.6506485140171	1636.0864312022143	1695.0379337651957	1699.769427554563	2.6
1726.1362709973514	1726.1362709973514	1726.1362709973514	1726.1362709973514	1726.1362709973514	1726.1362709973514	1726.1362709973514	1376.2035668508422	1485.601230088368	1620.5117221277967	1682.1272581854262	1690.4041013846047	2.64
1727.2127945635295	1727.2127945635295	1727.2127945635295	1727.2127945635295	1727.2127945635295	1727.2127945635295	1727.2127945635295	1369.4949095636155	1474.7468187104514	1601.894685631252	1664.0410118412847	1687.9286050803746	2.68
1733.0994950577017	1733.0994950577017	1733.0994950577017	1733.0994950577017	1733.0994950577017	1733.0994950577017	1733.0994950577017	1382.4495523003388	1495.7557924188618	1622.3663191144028	1680.2944734067876	1709.6349529662057	2.72
1752.2342538991875	1752.2342538991875	1752.2342538991875	1752.2342538991875	1752.2342538991875	1752.2342538991875	1752.2342538991875	1415.9525450715084	1505.108959046091	1612.7245087366116	1689.378341206071	1737.4537167254684	2.76
0.0	0.0	0.0	0.0	0.0	0.0	1785.4186901869787	1785.4186901869787	1785.4186901869787	1785.4186901869787	1785.4186901869787	1785.4186901869787	2.8
1748.626359264917	1748.626359264917	1748.626359264917	1748.626359264917	1748.626359264917	1748.626359264917	1748.626359264917	1332.9810335544662	1333.3548877756818	1400.5539557558059	1436.5350597502468	1510.522382879065	2.84
1713.5313874729084	1713.5313874729084	1713.5313874729084	1713.5313874729084	1713.5313874729084	1713.5313874729084	1713.5313874729084	1264.316199625803	1199.5683890055059	1231.6324006033071	1328.9909516435448	1465.9005218083616	2.88
1654.9897911453502	1654.9897911453502	1654.9897911453502	1654.9897911453502	1654.9897911453502	1654.9897911453502	1654.9897911453502	1185.6362137001158	1035.1656185722322	1102.6809220155121	1235.1325903206698	1388.5441827515326	2.92
1613.6393436268943	1613.6393436268943	1613.6393436268943	1613.6393436268943	1613.6393436268943	1613.6393436268943	1613.6393436268943	1093.0138745923982	841.6531266594928	1063.6593028726588	1218.9638803842668	1347.094274737554	2.96
1571.7681921402125	1571.7681921402125	1571.7681921402125	1571.7681921402125	1571.7681921402125	1571.7681921402125	1571.7681921402125	1015.8550183958281	799.0233548635748	974.1129394887914	1147.929324280371	1305.7351414750526	3.0
1510.21793956259	1510.21793956259	1510.21793956259	1510.21793956259	1510.21793956259	1510.21793956259	1510.21793956259	922.7944539681383	690.8996265975893	875.6518235831529	1072.2120828809368	1242.9677143056474	3.04
1454.6429670619314	1454.6429670619314	1454.6429670619314	1454.6429670619314	1454.6429670619314	1454.6429670619314	1454.6429670619314	823.194961371847	574.8982491219134	757.0264745330709	958.892521883802	1140.3706777333673	3.08
1395.8156648873323	1395.8156648873323	1395.8156648873323	1395.8156648873323	1395.8156648873323	1395.8156648873323	1395.8156648873323	711.671178232483	538.9679624566204	730.6984460739832	943.8964261648422	1088.0622862537928	3.12
1335.0764194408507	1335.0764194408507	1335.0764194408507	1335.0764194408507	1335.0764194408507	1335.0764194408507	1335.0764194408507	623.4214651947728	402.0350769094308	674.5166686749382	887.4443594433516	1024.958664682895	3.16
1303.5177504211872	1303.5177504211872	1303.5177504211872	1303.5177504211872	1303.5177504211872	1303.5177504211872	1303.5177504211872	502.1180755101396	456.9340262465504	697.8737203774903	885.3856428814463	999.3459430178019	3.2
0.0	0.0	0.0	0.0	0.0	0.0	1639.6062522237391	1639.6062522237391	1639.6062522237391	1639.6062522237391	1639.6062522237391	1639.6062522237391	3.24
0.0	0.0	0.0	0.0	0.0	0.0	1629.240883206354	1629.240883206354	1629.240883206354	1629.240883206354	1629.240883206354	1629.240883206354	3.28
0.0	0.0	0.0	0.0	0.0	0.0	1614.7316964844629	1614.7316964844629	1614.7316964844629	1614.7316964844629	1614.7316964844629	1614.7316964844629	3.32
0.0	0.0	0.0	0.0	0.0	0.0	1606.0667076826383	1606.0667076826383	1606.0667076826383	1606.0667076826383	1606.0667076826383	1606.0667076826383	3.36
0.0	0.0	0.0	0.0	0.0	0.0	1610.2856041438247	1610.2856041438247	1610.2856041438247	1610.2856041438247	1610.2856041438247	1610.2856041438247	3.4
0.0	0.0	0.0	0.0	0.0	0.0	1614.6447328729791	1614.6447328729791	1614.6447328729791	1614.6447328729791	1614.6447328729791	1614.6447328729791	3.44
0.0	0.0	0.0	0.0	0.0	0.0	1630.0108245996898	1630.0108245996898	1630.0108245996898	1630.0108245996898	1630.0108245996898	1630.0108245996898	3.48
0.0	0.0	0.0	0.0	0.0	0.0	1649.8272117033214	1649.8272117033214	1649.8272117033214	1649.8272117033214	1649.8272117033214	1649.8272117033214	3.52
0.0	0.0	0.0	0.0	0.0	0.0	1675.9691438498721	1675.9691438498721	1675.9691438498721	1675.9691438498721	1675.9691438498721	1675.9691438498721	3.56
0.0	0.0	0.0	0.0	0.0	0.0	1709.5980965141912	1709.5980965141912	1709.5980965141912	1709.5980965141912	1709.5980965141912	1709.5980965141912	3.6
0.0	0.0	0.0	0.0	0.0	0.0	1753.11902477832	1753.11902477832	1753.11902477832	1753.11902477832	1753.11902477832	1753.11902477832	3.64
0.0	0.0	0.0	0.0	0.0	0.0	1801.8182373008533	1801.8182373008533	1801.8182373008533	1801.8182373008533	1801.8182373008533	1801.8182373008533	3.68
1426.3744486407438	1426.3744486407438	1426.3744486407438	1426.3744486407438	1426.3744486407438	1426.3744486407438	1426.3744486407438	837.3483388426066	637.7165512032009	858.8824323102697	1015.5512430792618	1130.6725288793577	3.72
