Thumb_R	Index_R	Thumb_L	Index_L	Action	sequence	Dict_value
899.5992203357607	899.5992203357607	899.5992203357607	888.0809876238752	Apply Tip	DDDD	1201
1012.1706866525234	1012.1706866525234	1012.1706866525234	978.0581203990428	Apply Tip	DDDD	1201
1189.050279003539	1189.050279003539	1189.050279003539	1232.690186828552	Apply Tip	EEEE	1601
1199.8457766779134	1199.8457766779134	1199.8457766779134	1235.9403283187044	Apply Tip	EEEE	1601
1205.167856724353	1205.167856724353	1205.167856724353	1249.2623968392004	Apply Tip	EEEE	1601
1209.96238742229	1209.96238742229	1209.96238742229	1255.4159617730188	Apply Tip	EEEE	1601
1193.6710538089744	1193.6710538089744	1193.6710538089744	1238.4799127407507	Apply Tip	EEEE	1601
1168.5664225779897	1168.5664225779897	1168.5664225779897	1216.4300498120665	Apply Tip	EEEE	1601
1165.0488646799545	1165.0488646799545	1165.0488646799545	1210.0751833601144	Apply Tip	EEEE	1601
1161.4201666169365	1161.4201666169365	1161.4201666169365	1196.6603357093902	Apply Tip	EEEE	1601
1147.3719965940254	1147.3719965940254	1147.3719965940254	1193.925223485365	Apply Tip	EEEE	1601
1117.9807998803335	1117.9807998803335	1117.9807998803335	1150.7201723218357	Apply Tip	EEEE	1601
1103.3240255169371	1103.3240255169371	1103.3240255169371	1127.0516142554684	Apply Tip	EEEE	1601
1115.455706227144	1115.455706227144	1115.455706227144	1156.9055937293242	Apply Tip	EEEE	1601
1184.76711379832	1184.76711379832	1184.76711379832	1228.1731281657374	Apply Tip	EEEE	1601
1190.960139241757	1190.960139241757	1190.960139241757	1222.0382857579518	Apply Tip	EEEE	1601
1015.3905376290436	1015.3905376290436	1015.3905376290436	1056.1822551445885	Setting Units	DDDD	1201
977.346318136668	977.346318136668	977.346318136668	988.7640802758632	Setting Units	DDDD	1201
978.9008039682602	978.9008039682602	978.9008039682602	1008.955348550512	Setting Units	DDDD	1201
966.360799482334	966.360799482334	966.360799482334	980.5745144415298	Setting Units	DDDD	1201
957.3689024197124	957.3689024197124	957.3689024197124	953.475193527686	Setting Units	DDDD	1201
951.4978355284225	951.4978355284225	951.4978355284225	952.2497554240152	Setting Units	DDDD	1201
935.6164674936784	935.6164674936784	935.6164674936784	952.8765878006787	Setting Units	DDDD	1201
914.140553484346	914.140553484346	914.140553484346	939.9227417560462	Setting Units	DDDD	1201
966.85616930181	966.85616930181	966.85616930181	967.8376835824704	Priming	DDDD	1201
1109.9757303978597	1109.9757303978597	1109.9757303978597	1109.7223982601286	Priming	EEEE	1601
1213.6766747454635	1213.6766747454635	1213.6766747454635	1209.4086079790684	Priming	EEEE	1601
1249.4141721634894	1249.4141721634894	1249.4141721634894	1250.757035854328	Priming	EEEE	1601
1331.762360997522	1331.762360997522	1331.762360997522	1345.8846546568332	Priming	EEEE	1601
1356.8959349877457	1356.8959349877457	1356.8959349877457	1369.17794617355	Priming	FFFF	2001
1280.3340582057533	1280.3340582057533	1280.3340582057533	1296.0489233361936	Priming	EEEE	1601
1207.584040384595	1207.584040384595	1207.584040384595	1224.1881702775784	Priming	EEEE	1601
1161.286192200099	1161.286192200099	1161.286192200099	1174.375973454018	Priming	EEEE	1601
1149.7126237139514	1149.7126237139514	1149.7126237139514	1164.7107249072487	Priming	EEEE	1601
1144.3803862952586	1144.3803862952586	1144.3803862952586	1163.6342206491386	Priming	EEEE	1601
