Thumb_RX	Index_RX	Thumb_RY	Index_RY	Thumb_LX	Index_LX	Thumb_LY	Index_LY	Action	start_time	end_time
1114.5381546020508	1039.8235702514648	554.8772478103638	492.64574468135834	750.8320426940918	808.9478302001953	484.7265923023224	464.6760070323944	Setting Units	11.673	11.743
1121.2627410888672	1051.6082000732422	562.0959091186523	498.6862885951996	748.6884689331055	815.4858589172363	470.34663677215576	485.26278734207153	Setting Units	11.803	11.923
1108.425178527832	1043.428653717041	576.9968719482422	509.3252567052841	794.4018573760986	831.4405689239502	521.005640745163	459.89803898334503	Setting Units	11.943	12.373
1103.984654744466	1038.4281158447266	582.2871601581573	517.0176583528519	809.9471791585287	833.0725479125977	536.2637865543365	480.57825922966003	Setting Units	12.393	13.113
1096.9351196289062	1036.2730407714844	592.2715330123901	527.5001013278961	826.7391586303711	846.3785171508789	582.6142501831055	446.26988410949707	Priming	13.132	13.252
1105.3038711547852	1034.709114074707	588.1990127563477	524.9804105758667	805.3065032958984	833.8407325744629	538.4943473339081	502.3060712814331	Priming	13.282	13.492
1109.7356414794922	1035.6214714050293	592.5693869590759	526.4973735809326	792.1421241760254	815.6300354003906	545.3313088417053	497.81002163887024	Priming	13.632	13.712
1126.9855499267578	1052.8007698059082	594.5841872692108	520.5161386728287	702.6192378997803	737.1442699432373	513.0108672380447	470.79648077487946	Priming	13.802	14.042
1174.6211624145508	1108.8191604614258	577.5049424171448	515.8616638183594	592.9530715942383	597.1861839294434	425.8915650844574	384.02400970458984	Priming	14.112	14.242
1124.773986339569	1086.2722849845886	605.7686434686184	538.2940547168255	815.4499518871307	803.164050579071	538.7450440227985	479.25507701933384	Priming	14.292	14.922
291.71799659729004	902.0287675857544	240.9545143790867	204.68438915584397	1079.6804050777268	1061.4986826025922	730.5890859728274	651.1418291796808	Priming	14.941	16.81
945.4039827982584	960.3925832112631	746.4843320846558	581.8527030944824	681.6536966959635	722.0282173156738	689.5470857620239	626.8220829963684	Priming	16.83	17.22
975.5356280008951	966.917781829834	607.9999458789825	522.0687335729599	587.6333586374918	668.7933095296224	590.1629519462585	535.5796104669571	Priming	17.28	18.01
1020.94482421875	1022.0900917053223	798.8637042045593	700.6813788414001	738.8444137573242	749.9935722351074	636.7390286922455	524.363402724266	Priming	18.179	18.409
932.7568326677595	975.1748248508999	964.3738777296884	742.3688813618252	740.1538712637765	791.5457398550851	554.8693299293518	490.31894751957486	Priming	18.499	18.759
884.2880916595459	877.8214359283447	1012.2333991527556	695.8828639984131	853.8083267211914	886.5389728546143	717.2951316833496	609.0312087535858	Priming	19.039	19.109
887.2874355316162	895.196008682251	977.543134689331	671.5210139751434	861.9068717956543	892.7915859222412	684.3554162979126	567.2314381599426	Priming	19.129	19.359
877.4717235565186	881.3843727111816	914.4564628601074	607.1706783771515	846.9348239898682	884.6205139160156	624.5477449893951	499.9896651506424	Priming	19.399	19.639
884.9463435581753	875.5633817400251	887.0041792733329	572.5122632299151	845.7972744532993	875.9476906912668	595.9045713288443	471.5993939127241	Priming	19.679	19.959
888.9277982711792	880.3624248504639	882.0646905899048	572.2428104281425	849.7005271911621	880.9530973434448	593.7569403648376	466.4540983736515	Priming	20.008	20.308
1021.9546913419451	1021.2421221051898	825.9291741677692	614.9037562608719	918.4915237426758	945.1500463485718	658.8957109962191	598.9451006310327	Priming	20.348	25.945
1096.3995666503906	1119.8002853393555	763.2550578117371	629.7833375930786	901.8437461853027	929.9429626464844	742.4348802566528	768.3810939788818	Setting Units	26.125	26.335
1092.888765335083	1116.821050643921	764.5436543226242	651.498264670372	898.2021903991699	917.6489639282227	743.0293554067612	772.3909986019135	Setting Units	26.375	26.525
