Thumb_L	Index_L	Time
1032.3098245885628	1018.2312912426082	29.88
1030.6072207483546	1005.0354960707632	29.92
1027.4688940731692	1007.2404843068533	29.96
1025.3861410780955	1011.1100664143042	30.0
1027.4797757084982	1015.6534890636482	30.04
1025.2930464375506	1006.5281924215548	30.08
1025.776596097705	1017.1344333722394	30.12
1027.1676939973986	1021.0115963357074	30.16
1024.8241118319083	1013.7878832579628	30.2
1025.657429881413	1015.3219562636664	30.24
1021.8910026407156	1000.9743833146676	30.28
1023.3051292799469	1012.0222451597682	30.32
1024.1547525654282	1014.3379366328625	30.36
1022.9047079678141	1019.265204572097	30.4
1020.5105891974152	1007.0909390257259	30.44
1022.6864842714768	1009.4849299586547	30.48
1019.8601174151617	1000.764547808026	30.52
1020.2794644449069	1009.6846909318949	30.56
1017.4062116088508	991.705220958398	30.6
1019.8585726700674	1004.864439482912	30.64
1022.6461864952423	1000.6691630107367	30.68
1019.654125656324	1000.7716227775201	30.72
1023.7320997717391	1006.3461202562114	30.76
1019.7997040488152	992.3970226953102	30.8
1019.5768850347532	1002.4016480062298	30.84
1019.6721082431562	993.0562584437008	30.88
1020.4768691171978	999.441771461774	30.92
1019.5041795616082	987.6669367492459	30.96
1021.1963032940528	1001.3122688783805	31.0
1017.8341019813753	987.3893451123738	31.04
1018.9780906302658	1005.9718170539462	31.08
1017.6123743304984	993.6188280045325	31.12
1019.0084350309954	995.0465611146221	31.16
1017.901987410577	989.8712589746368	31.2
1020.7512102967331	1008.2178470663692	31.24
1015.8774221148544	988.1119606402832	31.28
1020.687698564158	994.8345133772817	31.32
1017.6322059827945	988.2495350761023	31.36
1017.42853785947	989.650208975895	31.4
1019.8770304942044	990.3628628643486	31.44
1017.1829380627543	988.4408153324348	31.48
1017.4749148524171	988.7626465261865	31.52
1020.6735017709594	997.498470892257	31.56
1016.7522325471429	990.5563688441744	31.6
1015.0822169821673	981.0930959713278	31.64
1015.4193856734616	984.7349563205103	31.68
1019.7727344228045	991.7216555365266	31.72
1022.8642036576899	999.4373536892425	31.76
1017.9575233023529	999.9419998734006	31.8
1021.7926536901713	1003.6922726884625	31.84
1020.7508711248429	997.6273685528457	31.88
1022.2940264945446	996.4702013804413	31.92
1022.2233944912869	1009.8540248875041	31.96
1026.4983035247037	1024.1608613376218	32.0
1025.7638541653007	1010.0839954132509	32.04
1025.8184777528509	1009.4827109919132	32.08
1030.9323298035742	1012.322288332502	32.12
1029.3923661621063	1022.1004730071106	32.16
1031.4790494364581	1032.6952278064882	32.2
1031.2496616124079	1023.2025408157726	32.24
1033.5718393769641	1023.157582301817	32.28
1032.7788853345874	1029.5458546783623	32.32
1035.9664949992466	1033.783910396965	32.36
1039.1871852636982	1061.4626089842743	32.4
1039.1421127593132	1026.8290526622422	32.44
1039.6770966494407	1024.1734629105104	32.48
1039.3676904367226	1057.8687988765305	32.52
1041.4672877843716	1025.0778830661652	32.56
1041.4936911305028	1025.6444330849026	32.6
1043.4431385826722	1038.9442755939936	32.64
1042.3640971865825	1028.1870864843122	32.68
1043.31211364722	1041.273913580042	32.72
1054.620570104042	1048.1871459967465	32.76
1087.2626455058091	1092.587229962522	32.8
1143.8324526802369	1176.4335096746088	32.84
1220.3943980491922	1282.3681729564926	32.88
1306.590578395671	1384.4403249695026	32.92
1386.6365353347828	1457.498053040941	32.96
1456.655368565741	1529.7898156403214	33.0
1507.3610938770823	1583.868598691239	33.04
1542.6206893284434	1635.4764438810114	33.08
