Thumb_L	Index_L	Action
1626.8155581105284	1626.8155581105284	Priming
1605.6223924976189	1605.6223924976189	Priming
1606.2996625663623	1606.2996625663623	Priming
1600.2623742100334	1600.2623742100334	Priming
1587.4916468158465	1587.4916468158465	Priming
1588.075042399279	1588.075042399279	Priming
1590.8632187325106	1590.8632187325106	Priming
1591.1359187685841	1591.1359187685841	Priming
1481.846507334633	1481.846507334633	Setting Units
1308.6349746175006	1308.6349746175006	Setting Units
1228.895098603534	1228.895098603534	Setting Units
1233.6701017018895	1233.6701017018895	Setting Units
1242.6467998557107	1242.6467998557107	Setting Units
1247.1613541976767	1247.1613541976767	Setting Units
1246.5058497561552	1246.5058497561552	Setting Units
1252.496692458327	1252.496692458327	Setting Units
1262.0941955110982	1262.0941955110982	Setting Units
1270.2280820004166	1270.2280820004166	Setting Units
1353.3320924505792	1353.3320924505792	Injection
1234.254040573699	1228.6930756495724	Injection
1462.084755975895	1462.084755975895	Injection
1282.545535846712	1282.545535846712	Injection
1282.0206153631893	1282.0206153631893	Injection
1282.6076878366869	1282.6076878366869	Injection
1272.3792073938012	1272.3792073938012	Injection
1317.8453964281553	1317.8453964281553	Injection
1351.8489584041806	1351.8489584041806	Injection
1368.0696845213495	1368.0696845213495	Injection
1388.5802138728095	1388.5802138728095	Injection
1370.9004734508158	1370.9004734508158	Injection
1763.6087297540828	1763.6087297540828	Injection
1744.604026205199	1744.604026205199	Injection
1623.3305422551757	1623.3305422551757	Injection
1521.4608371351537	1521.4608371351537	Injection
1241.831201288349	1241.831201288349	Injection
879.9905743725043	879.9905743725043	Injection
534.1801717591578	534.1801717591578	Injection
601.5087330530394	601.5087330530394	Injection
566.4827738955308	566.4827738955308	Injection
560.423684220743	560.423684220743	Injection
551.4419133161648	551.4419133161648	Injection
542.6555541094616	542.6555541094616	Injection
542.3436002769809	542.3436002769809	Injection
537.0732350736037	537.0732350736037	Injection
533.6969426487415	533.6969426487415	Injection
536.8464751595221	536.8464751595221	Injection
534.6273484660295	534.6273484660295	Injection
538.6109162809804	538.6109162809804	Injection
539.1021297054377	539.1021297054377	Injection
541.941658795377	541.941658795377	Injection
533.7184575273054	533.7184575273054	Remove Tip
907.2063215416878	907.2063215416878	Remove Tip
946.1228526026084	946.1228526026084	Remove Tip
975.6833688319842	975.6833688319842	Remove Tip
1182.954248865097	1182.954248865097	Remove Tip
1234.254040573699	1228.6930756495724	Remove Tip
1154.2307899667292	1154.2307899667292	Remove Tip
1217.8434664227707	1217.8434664227707	Remove Tip
1298.6502271936242	1298.6502271936242	Remove Tip
1236.3988903689208	1236.3988903689208	Remove Tip
1217.7365799117797	1217.7365799117797	Remove Tip
1217.6313906046043	1217.6313906046043	Remove Tip
1228.4910526956107	1228.4910526956107	Remove Tip
1253.5320565508177	1253.5320565508177	Remove Tip
1257.9048517750298	1257.9048517750298	Remove Tip
1245.5306116936606	1245.5306116936606	Remove Tip
1183.1784989592184	1183.1784989592184	Remove Tip
1209.9479402840573	1209.9479402840573	Remove Tip
1181.005454619724	1181.005454619724	Remove Tip
1132.6740355423701	1132.6740355423701	Remove Tip
1152.271547618712	1152.271547618712	Remove Tip
1236.9360533007846	1236.9360533007846	Remove Tip
1217.4778834044075	1217.4778834044075	Remove Tip
1231.514966112877	1231.514966112877	Remove Tip
1237.655586862463	1237.655586862463	Remove Tip
1248.4962405240144	1248.4962405240144	Remove Tip
1268.829974016228	1268.829974016228	Remove Tip
1280.6930273060061	1280.6930273060061	Cap On
1087.0202706672123	1087.0202706672123	Cap On
1001.9762581140578	1001.9762581140578	Cap On
1055.5249033097448	1055.5249033097448	Cap On
1132.5913158316107	1132.5913158316107	Cap On
1266.2320897311881	1266.2320897311881	Cap On
1258.836665971304	1258.836665971304	Cap On
1237.5935109952372	1237.5935109952372	Cap On
1225.6558002483373	1225.6558002483373	Cap On
1259.8265416785614	1259.8265416785614	Cap On
764.7084018213109	800.4633078413156	Cap On
745.1986351450074	779.0159414375821	Cap On
865.1450682115728	961.1709217177648	Cap On
1045.1836408423865	1013.339242122318	Cap On
1227.3616565345335	1084.2379392329756	Cap On
1217.3745437331186	1100.5331210187471	Cap On
1277.3747073258537	1122.8768909595783	Cap On
1327.354666812021	1259.6497810295227	Cap On
1283.2362542555127	1262.9824363720004	Cap On
739.8449859845931	764.6824842812035	Cap On
1234.254040573699	1228.6930756495724	Cap On
1234.254040573699	1228.6930756495724	Cap On
777.7471602362747	777.7471602362747	Cap On
1234.254040573699	1228.6930756495724	Cap On
1234.254040573699	1228.6930756495724	Cap On
1234.254040573699	1228.6930756495724	Cap On
