Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
1502.2229759438183	1502.2229759438183	1502.2229759438183	1502.2229759438183	1502.2229759438183	1502.2229759438183	50.92
1478.0644159144947	1478.0644159144947	1478.0644159144947	1478.0644159144947	1478.0644159144947	1478.0644159144947	50.96
1473.624553700385	1473.624553700385	1473.624553700385	1473.624553700385	1473.624553700385	1473.624553700385	51.0
1502.769502303746	1502.769502303746	1502.769502303746	1502.769502303746	1502.769502303746	1502.769502303746	51.04
1534.6504433876087	1534.6504433876087	1534.6504433876087	1534.6504433876087	1534.6504433876087	1534.6504433876087	51.08
1564.3354812635691	1564.3354812635691	1564.3354812635691	1564.3354812635691	1564.3354812635691	1564.3354812635691	51.12
1578.3144232017246	1578.3144232017246	1578.3144232017246	1578.3144232017246	1578.3144232017246	1578.3144232017246	51.16
1594.0850870542909	1594.0850870542909	1594.0850870542909	1594.0850870542909	1594.0850870542909	1594.0850870542909	51.2
1593.8682801543134	1593.8682801543134	1593.8682801543134	1593.8682801543134	1593.8682801543134	1593.8682801543134	51.24
1586.490202029681	1586.490202029681	1586.490202029681	1586.490202029681	1586.490202029681	1586.490202029681	51.28
1586.4719029582304	1586.4719029582304	1586.4719029582304	1586.4719029582304	1586.4719029582304	1586.4719029582304	51.32
1589.060096390788	1589.060096390788	1589.060096390788	1589.060096390788	1589.060096390788	1589.060096390788	51.36
1591.618459745237	1591.618459745237	1591.618459745237	1591.618459745237	1591.618459745237	1591.618459745237	51.4
1596.9168901458852	1596.9168901458852	1596.9168901458852	1596.9168901458852	1596.9168901458852	1596.9168901458852	51.44
1598.5089556157232	1598.5089556157232	1598.5089556157232	1598.5089556157232	1598.5089556157232	1598.5089556157232	51.48
1605.8287744635606	1605.8287744635606	1605.8287744635606	1605.8287744635606	1605.8287744635606	1605.8287744635606	51.52
1614.4269065974565	1614.4269065974565	1614.4269065974565	1614.4269065974565	1614.4269065974565	1614.4269065974565	51.56
1626.1908674199074	1626.1908674199074	1626.1908674199074	1626.1908674199074	1626.1908674199074	1626.1908674199074	51.6
1645.153476408696	1645.153476408696	1645.153476408696	1645.153476408696	1645.153476408696	1645.153476408696	51.64
1661.1759719139484	1661.1759719139484	1661.1759719139484	1661.1759719139484	1661.1759719139484	1661.1759719139484	51.68
1675.27579175635	1675.27579175635	1675.27579175635	1675.27579175635	1675.27579175635	1675.27579175635	51.72
1680.8367572649843	1680.8367572649843	1680.8367572649843	1680.8367572649843	1680.8367572649843	1680.8367572649843	51.76
1694.986476285876	1694.986476285876	1694.986476285876	1694.986476285876	1694.986476285876	1694.986476285876	51.8
1694.6173969172116	1694.6173969172116	1694.6173969172116	1694.6173969172116	1694.6173969172116	1694.6173969172116	51.84
1704.5841863931978	1704.5841863931978	1704.5841863931978	1704.5841863931978	1704.5841863931978	1704.5841863931978	51.88
1705.354088497077	1705.354088497077	1705.354088497077	1705.354088497077	1705.354088497077	1705.354088497077	51.92
1704.9720677014623	1704.9720677014623	1704.9720677014623	1704.9720677014623	1704.9720677014623	1704.9720677014623	51.96
1718.0173991881718	1718.0173991881718	1718.0173991881718	1718.0173991881718	1718.0173991881718	1718.0173991881718	52.0
1749.2687908506382	1749.2687908506382	1749.2687908506382	1749.2687908506382	1749.2687908506382	1749.2687908506382	52.04
1778.7595211556504	1778.7595211556504	1778.7595211556504	1778.7595211556504	1778.7595211556504	1778.7595211556504	52.08
1795.3998762790472	1795.3998762790472	1795.3998762790472	1795.3998762790472	1795.3998762790472	1795.3998762790472	52.12
1802.3737184849679	1802.3737184849679	1802.3737184849679	1802.3737184849679	1802.3737184849679	1802.3737184849679	52.16
1797.1801118942312	1797.1801118942312	1797.1801118942312	1797.1801118942312	1797.1801118942312	1797.1801118942312	52.2
1775.1156263436587	1775.1156263436587	1775.1156263436587	1775.1156263436587	1775.1156263436587	1775.1156263436587	52.24
1752.2632833110633	1752.2632833110633	1752.2632833110633	1752.2632833110633	1752.2632833110633	1752.2632833110633	52.28
1739.9881809604817	1739.9881809604817	1739.9881809604817	1739.9881809604817	1739.9881809604817	1739.9881809604817	52.32
1723.0002137313538	1723.0002137313538	1723.0002137313538	1723.0002137313538	1723.0002137313538	1723.0002137313538	52.36
1708.487439615893	1708.487439615893	1708.487439615893	1708.487439615893	1708.487439615893	1708.487439615893	52.4
1691.1648312414154	1691.1648312414154	1691.1648312414154	1691.1648312414154	1691.1648312414154	1691.1648312414154	52.44
1671.626640992865	1671.626640992865	1671.626640992865	1671.626640992865	1671.626640992865	1671.626640992865	52.48
1654.3406479230334	1654.3406479230334	1654.3406479230334	1654.3406479230334	1654.3406479230334	1654.3406479230334	52.52
1642.7869169634591	1642.7869169634591	1642.7869169634591	1642.7869169634591	1642.7869169634591	1642.7869169634591	52.56
1633.1094917917344	1633.1094917917344	1633.1094917917344	1633.1094917917344	1633.1094917917344	1633.1094917917344	52.6
1625.8670501578595	1625.8670501578595	1625.8670501578595	1625.8670501578595	1625.8670501578595	1625.8670501578595	52.64
1619.7856643140758	1619.7856643140758	1619.7856643140758	1619.7856643140758	1619.7856643140758	1619.7856643140758	52.68
1616.4469131960243	1616.4469131960243	1616.4469131960243	1616.4469131960243	1616.4469131960243	1616.4469131960243	52.72
1608.9098307628847	1608.9098307628847	1608.9098307628847	1608.9098307628847	1608.9098307628847	1608.9098307628847	52.76
1605.4467285482706	1605.4467285482706	1605.4467285482706	1605.4467285482706	1605.4467285482706	1605.4467285482706	52.8
1603.2864750645583	1603.2864750645583	1603.2864750645583	1603.2864750645583	1603.2864750645583	1603.2864750645583	52.84
1601.9848955498385	1601.9848955498385	1601.9848955498385	1601.9848955498385	1601.9848955498385	1601.9848955498385	52.88
1601.5169643467711	1601.5169643467711	1601.5169643467711	1601.5169643467711	1601.5169643467711	1601.5169643467711	52.92
1607.73943495277	1607.73943495277	1607.73943495277	1607.73943495277	1607.73943495277	1607.73943495277	52.96
1609.3540707097407	1609.3540707097407	1609.3540707097407	1609.3540707097407	1609.3540707097407	1609.3540707097407	53.0
1607.5144607372997	1607.5144607372997	1607.5144607372997	1607.5144607372997	1607.5144607372997	1607.5144607372997	53.04
1606.183963082745	1606.183963082745	1606.183963082745	1606.183963082745	1606.183963082745	1606.183963082745	53.08
1607.0829173243876	1607.0829173243876	1607.0829173243876	1607.0829173243876	1607.0829173243876	1607.0829173243876	53.12
1608.5658707855337	1608.5658707855337	1608.5658707855337	1608.5658707855337	1608.5658707855337	1608.5658707855337	53.16
1610.854874299751	1610.854874299751	1610.854874299751	1610.854874299751	1610.854874299751	1610.854874299751	53.2
1613.9542299729635	1613.9542299729635	1613.9542299729635	1613.9542299729635	1613.9542299729635	1613.9542299729635	53.24
1615.5184572743915	1615.5184572743915	1615.5184572743915	1615.5184572743915	1615.5184572743915	1615.5184572743915	53.28
1619.6846028785985	1619.6846028785985	1619.6846028785985	1619.6846028785985	1619.6846028785985	1619.6846028785985	53.32
1622.0316270235087	1622.0316270235087	1622.0316270235087	1622.0316270235087	1622.0316270235087	1622.0316270235087	53.36
1623.0404685939886	1623.0404685939886	1623.0404685939886	1623.0404685939886	1623.0404685939886	1623.0404685939886	53.4
1619.4835053198094	1619.4835053198094	1619.4835053198094	1619.4835053198094	1619.4835053198094	1619.4835053198094	53.44
1613.3558853762383	1613.3558853762383	1613.3558853762383	1613.3558853762383	1613.3558853762383	1613.3558853762383	53.48
1614.3299804047704	1614.3299804047704	1614.3299804047704	1614.3299804047704	1614.3299804047704	1614.3299804047704	53.52
1617.5258763334987	1617.5258763334987	1617.5258763334987	1617.5258763334987	1617.5258763334987	1617.5258763334987	53.56
1611.4944686228325	1611.4944686228325	1611.4944686228325	1611.4944686228325	1611.4944686228325	1611.4944686228325	53.6
1612.2521495138076	1612.2521495138076	1612.2521495138076	1612.2521495138076	1612.2521495138076	1612.2521495138076	53.64
1602.4437477902375	1602.4437477902375	1602.4437477902375	1602.4437477902375	1602.4437477902375	1602.4437477902375	53.68
1598.6402014159312	1598.6402014159312	1598.6402014159312	1598.6402014159312	1598.6402014159312	1598.6402014159312	53.72
1601.829664090336	1601.829664090336	1601.829664090336	1601.829664090336	1601.829664090336	1601.829664090336	53.76
1599.075654781682	1599.075654781682	1599.075654781682	1599.075654781682	1599.075654781682	1599.075654781682	53.8
1605.4470488088243	1605.4470488088243	1605.4470488088243	1605.4470488088243	1605.4470488088243	1605.4470488088243	53.84
1609.7808870820484	1609.7808870820484	1609.7808870820484	1609.7808870820484	1609.7808870820484	1609.7808870820484	53.88
1607.5867962766167	1607.5867962766167	1607.5867962766167	1607.5867962766167	1607.5867962766167	1607.5867962766167	53.92
1610.4213553292857	1610.4213553292857	1610.4213553292857	1610.4213553292857	1610.4213553292857	1610.4213553292857	53.96
1613.75177385867	1613.75177385867	1613.75177385867	1613.75177385867	1613.75177385867	1613.75177385867	54.0
1612.8954359188	1612.8954359188	1612.8954359188	1612.8954359188	1612.8954359188	1612.8954359188	54.04
1604.6066120249443	1604.6066120249443	1604.6066120249443	1604.6066120249443	1604.6066120249443	1604.6066120249443	54.08
1603.0872868508704	1603.0872868508704	1603.0872868508704	1603.0872868508704	1603.0872868508704	1603.0872868508704	54.12
1603.7448966991542	1603.7448966991542	1603.7448966991542	1603.7448966991542	1603.7448966991542	1603.7448966991542	54.16
1601.3922754684215	1601.3922754684215	1601.3922754684215	1601.3922754684215	1601.3922754684215	1601.3922754684215	54.2
1605.5376418155668	1605.5376418155668	1605.5376418155668	1605.5376418155668	1605.5376418155668	1605.5376418155668	54.24
1606.0781252767422	1606.0781252767422	1606.0781252767422	1606.0781252767422	1606.0781252767422	1606.0781252767422	54.28
1599.5562395664006	1599.5562395664006	1599.5562395664006	1599.5562395664006	1599.5562395664006	1599.5562395664006	54.32
1593.5152843522724	1593.5152843522724	1593.5152843522724	1593.5152843522724	1593.5152843522724	1593.5152843522724	54.36
1586.8926114672768	1586.8926114672768	1586.8926114672768	1586.8926114672768	1586.8926114672768	1586.8926114672768	54.4
1585.1335880717847	1585.1335880717847	1585.1335880717847	1585.1335880717847	1585.1335880717847	1585.1335880717847	54.44
1585.5296444681544	1585.5296444681544	1585.5296444681544	1585.5296444681544	1585.5296444681544	1585.5296444681544	54.48
1575.961463823086	1575.961463823086	1575.961463823086	1575.961463823086	1575.961463823086	1575.961463823086	54.52
1591.3223779315686	1591.3223779315686	1591.3223779315686	1591.3223779315686	1591.3223779315686	1591.3223779315686	54.56
1587.4312911512945	1587.4312911512945	1587.4312911512945	1587.4312911512945	1587.4312911512945	1587.4312911512945	54.6
1582.886110236864	1582.886110236864	1582.886110236864	1582.886110236864	1582.886110236864	1582.886110236864	54.64
1588.616917945009	1588.616917945009	1588.616917945009	1588.616917945009	1588.616917945009	1588.616917945009	54.68
1586.111582825552	1586.111582825552	1586.111582825552	1586.111582825552	1586.111582825552	1586.111582825552	54.72
1594.9748753574304	1594.9748753574304	1594.9748753574304	1594.9748753574304	1594.9748753574304	1594.9748753574304	54.76
1594.6861340029054	1594.6861340029054	1594.6861340029054	1594.6861340029054	1594.6861340029054	1594.6861340029054	54.8
1597.3634492265428	1597.3634492265428	1597.3634492265428	1597.3634492265428	1597.3634492265428	1597.3634492265428	54.84
1597.151918717903	1597.151918717903	1597.151918717903	1597.151918717903	1597.151918717903	1597.151918717903	54.88
1597.9790471171173	1597.9790471171173	1597.9790471171173	1597.9790471171173	1597.9790471171173	1597.9790471171173	54.92
1603.970047993844	1603.970047993844	1603.970047993844	1603.970047993844	1603.970047993844	1603.970047993844	54.96
1515.8079399887715	1515.8079399887715	1515.8079399887715	1515.8079399887715	1515.8079399887715	1515.8079399887715	55.0
1593.8074334981397	1593.8074334981397	1593.8074334981397	1593.8074334981397	1593.8074334981397	1593.8074334981397	55.04
