Thumb_L	Index_L	Action
455.65742196959025	455.65742196959025	Priming
1142.5047786463429	1142.5047786463429	Setting Units
1119.7964080265283	1119.7964080265283	Setting Units
1100.468622794037	1100.468622794037	Setting Units
1086.4167599733303	1086.4167599733303	Setting Units
1073.4352299620648	1073.4352299620648	Setting Units
1072.065138061011	1072.065138061011	Setting Units
1071.9727289506038	1071.9727289506038	Setting Units
1159.8382523689136	1159.8382523689136	Injection
1128.9341185369988	1128.9341185369988	Injection
1291.114133542649	1291.114133542649	Injection
1343.0671626897304	1343.0671626897304	Injection
1482.0123352746582	1137.3456760237623	Injection
1444.546309851213	1090.9005147134737	Injection
1435.0277357509608	1072.4316625771494	Injection
1439.1097500845199	1071.2219948205232	Injection
0.0	0.0	Injection
0.0	0.0	Injection
985.0477778816522	985.0477778816522	Injection
1045.7276950591165	1045.7276950591165	Injection
1046.4176645210061	1046.4176645210061	Injection
1044.1324972876494	1044.1324972876494	Injection
1048.7727000668033	1048.7727000668033	Injection
1105.1832793694878	1105.1832793694878	Injection
1119.8774825141234	1119.8774825141234	Injection
1130.4879506187872	1130.4879506187872	Injection
1134.3007343909449	1134.3007343909449	Injection
1124.0454246762465	1124.0454246762465	Injection
1417.9874519455384	1417.9874519455384	Injection
1452.8928689838913	1452.8928689838913	Injection
1454.846781902794	1454.846781902794	Injection
1444.0563645870159	1444.0563645870159	Injection
1432.655072982714	1432.655072982714	Injection
1436.6515502125367	1436.6515502125367	Injection
1433.6444703911766	1433.6444703911766	Injection
1446.3966579121743	1337.1087525001633	Injection
0.0	0.0	Injection
0.0	0.0	Injection
0.0	0.0	Injection
395.93002271015825	395.93002271015825	Injection
1148.2046679306527	1148.2046679306527	Injection
1130.2667728205993	1130.2667728205993	Injection
1095.1056545349304	1095.1056545349304	Remove Tip
1240.6112067516185	1240.6112067516185	Remove Tip
1133.3566612502293	1133.3566612502293	Remove Tip
1067.6709552980171	1067.6709552980171	Remove Tip
1104.136695562646	1104.136695562646	Remove Tip
1195.111535003131	1195.111535003131	Remove Tip
1132.4837683548233	1132.4837683548233	Remove Tip
1117.1637491068805	1117.1637491068805	Remove Tip
1094.9134831279596	1094.9134831279596	Remove Tip
1083.6192891916378	1083.6192891916378	Remove Tip
1069.671524098056	1069.671524098056	Remove Tip
1066.5989024997175	1066.5989024997175	Remove Tip
1067.6321275310395	1067.6321275310395	Remove Tip
1054.9947525961977	1054.9947525961977	Remove Tip
1057.9550487143697	1057.9550487143697	Remove Tip
1048.262881813705	1048.262881813705	Remove Tip
991.7748313707546	991.7748313707546	Remove Tip
964.1370260031241	964.1370260031241	Remove Tip
967.6158780318115	967.6158780318115	Remove Tip
986.579611753404	986.579611753404	Remove Tip
1114.0095840234599	1114.0095840234599	Remove Tip
1176.137390655352	1176.137390655352	Remove Tip
1161.1145381369233	1161.1145381369233	Remove Tip
1089.6143881519033	1089.6143881519033	Remove Tip
961.9040079188555	961.9040079188555	Remove Tip
981.3668596794087	967.0435111788775	Remove Tip
911.6618285057851	896.6731308068623	Remove Tip
907.4497351115715	902.9616750448322	Cap On
891.1724693791489	888.6484537587443	Cap On
878.4887487521769	875.2082526008359	Cap On
898.6258583382232	895.2740162730546	Cap On
909.5845459805398	917.0530930618186	Cap On
940.5185037037613	948.1713306924275	Cap On
966.7091565811546	968.6323737953674	Cap On
990.6337061038316	991.2680262101608	Cap On
935.2017777920022	893.622510132153	Cap On
917.431589305876	883.9310449286613	Cap On
909.5108403808491	884.609627202338	Cap On
930.815441851667	904.9439806977318	Cap On
908.5891881728758	838.9200371954245	Cap On
396.5571813131036	393.5743034118562	Cap On
0.0	0.0	Cap On
693.0478027885224	693.0478027885224	Cap On
1531.1930342853561	1531.1930342853561	Cap On
1531.4576426811982	1531.4576426811982	Cap On
1510.5260601590053	1510.5260601590053	Cap On
