Thumb_R	Index_R	Time
1157.6876587754787	1128.7438047166058	8.48
1162.7333287556069	1132.93989535529	8.52
1164.412766742311	1139.2136956637908	8.56
1167.7423821407485	1143.1750460264043	8.6
1163.891250558484	1144.2643540330796	8.64
1152.5657815762836	1132.5382432954698	8.68
1144.9718677383216	1126.2516476262329	8.72
1150.1830017573798	1130.1355591358458	8.76
1143.3830154168459	1140.2825643603212	8.8
1136.0360661167751	1132.9850086007048	8.84
1136.5604035612646	1126.8136972178604	8.88
1123.7274639301072	1112.2599100376008	8.92
1110.0483783393256	1085.9857244515222	8.96
1090.9523167644033	1065.4160028404185	9.0
1075.5162535512616	1051.2684346052715	9.04
1060.9857731493876	1037.916408627704	9.08
1050.4702967080775	1029.1778371023186	9.12
1043.299446201337	1023.7568687193425	9.16
1037.931062996487	1023.6076203523166	9.2
1048.0856683928876	1029.877191114207	9.24
1049.088746047828	1031.7059243810063	9.28
1052.168114278523	1036.739540272682	9.32
1054.6597722625463	1039.8630238186818	9.36
1057.2264617740225	1039.1218311443888	9.4
1054.2617704785505	1038.5339637649772	9.44
1058.789169252065	1042.5950054212879	9.48
1061.3008240562974	1044.4454501764912	9.52
1060.6265361544229	1042.6114540153012	9.56
1059.2569896337338	1039.5434230667238	9.6
1059.0177329980042	1041.3726105967903	9.64
1067.1256717246672	1043.7424647609776	9.68
1065.5166492786477	1044.3222294323168	9.72
1066.6989981032243	1047.6728647383225	9.76
1063.9972734436888	1049.1688587381184	9.8
1061.2376944839355	1046.457850916058	9.84
1056.1399313689778	1043.2451789234444	9.88
1060.7588341033954	1049.3666411356032	9.92
1059.686497789162	1050.769482073081	9.96
1060.5426200880147	1051.3170580608025	10.0
1058.2677890009609	1050.5582610999081	10.04
1061.9023033891472	1052.8457747032776	10.08
1061.2159618085077	1049.307351401637	10.12
1060.8219826056818	1051.0873379174654	10.16
1063.4895996998057	1053.9588490513872	10.2
1064.8998497011494	1058.4213554760922	10.24
1061.8775892394526	1060.2374709427177	10.28
1059.8056465312957	1055.9417438451028	10.32
1058.6086702833193	1049.0123746790232	10.36
1059.4826172558305	1050.7283682164395	10.4
1056.9940856811675	1054.952940795085	10.44
1057.9921019470894	1055.0716319665685	10.48
1057.4557853879267	1053.130894112854	10.52
1060.5637290969375	1053.0340140954388	10.56
1062.419814664319	1054.2631843883664	10.6
1055.8829992168298	1050.9374183712407	10.64
1056.3931572066806	1045.8264004324833	10.68
1054.2415441227313	1034.4692992689763	10.72
1062.0671859364338	1013.3835060924688	10.76
1068.9740397263854	996.2859087579279	10.8
1062.8913359966418	991.099114864465	10.84
1064.5389044599153	981.7780748556829	10.88
1061.8503041036852	976.7420844205866	10.92
1061.1878920300662	981.9042799249619	10.96
1059.3027108833965	994.0079866302909	11.0
1061.7702571448403	1006.853507811135	11.04
1062.009126687378	1018.267036000041	11.08
1061.0925763831729	1029.855839751377	11.12
1056.5900237409062	1039.3689252330403	11.16
1056.4561530875217	1039.4987231433731	11.2
1049.2055954795887	1035.7964041187768	11.24
1042.442340691637	1030.2883348325531	11.28
1044.3679012898601	1030.3566191317582	11.32
1046.1028038922473	1008.6063048770309	11.36
1060.609639501367	971.8603838430085	11.4
1055.0885643733202	972.2144418295145	11.44
1053.4316148687722	980.1676513526668	11.48
1050.7634741313407	991.2454892504277	11.52
1049.222882375319	1003.2128998117782	11.56
1052.5223068791372	1010.312213989306	11.6
1054.080049351356	1019.0138927437148	11.64
1046.6581554204547	1024.0698085378965	11.68
1043.5632718128945	1022.832142618594	11.72
1043.457414406052	1024.2023861885416	11.76
1046.0071234064676	1028.1756799353666	11.8
1041.3694021735146	1030.6512438963953	11.84
1036.9089651556437	1029.9567063656161	11.88
1039.680023567249	1027.3558445557267	11.92
1032.6067208051459	1029.5384779966046	11.96
1032.3784223567498	1021.0281864453664	12.0
