Thumb_R	Index_R	Time
1110.6210600409102	1023.5835068516998	2.84
1110.5638950396344	1032.1006418858533	2.88
1105.792285800167	1021.6074957758307	2.92
1102.1852638797372	1023.0504950176314	2.96
1107.9871757086107	1033.783615676429	3.0
1091.7860281276626	1048.8733101458276	3.04
1116.4749376798827	1066.0848459993256	3.08
1105.6020753722307	1099.4028932060296	3.12
1102.6903171293457	1085.3689108052065	3.16
1116.511281422834	1090.696145153271	3.2
1124.982895636482	1096.1674448208612	3.24
1137.586422282593	1078.668939808827	3.28
1131.3796363207	1118.733267186369	3.32
1138.2886490246997	1081.8585151908983	3.36
1171.5747331416926	1097.985128529141	3.4
1199.5268792284862	1118.8139486876694	3.44
1218.8714440707938	1154.9742833560294	3.48
1221.0271214269983	1119.7541865562778	3.52
1205.5596580089293	1147.00879696315	3.56
1190.6207663740797	1099.4023943540217	3.6
1173.2683238751822	1085.204235999842	3.64
1161.967030891773	1080.0013482142888	3.68
1167.8918429836024	1068.3184825606425	3.72
1161.80821620486	1121.6435496070046	3.76
1172.2905897743722	1073.7323373102197	3.8
1168.2588672071365	1084.182101166092	3.84
1176.3110230921816	1085.3073389212095	3.88
1178.4895310738116	1118.8005868088817	3.92
1196.8426852980838	1106.1498807804358	3.96
1193.4782821616332	1126.2269625453691	4.0
1207.6841359182474	1119.4069754008121	4.04
1203.889563264652	1117.3430721807742	4.08
1211.213293200225	1118.4128829478025	4.12
1208.6305067591206	1123.421115450475	4.16
1208.3838740741687	1125.3713376369458	4.2
1210.1608140593114	1126.1237954835858	4.24
1211.8898827446071	1129.6139781689637	4.28
1214.0435500031135	1135.6247840304131	4.32
1213.6153554582856	1131.4633675166453	4.36
1212.6850005247854	1127.9091562693218	4.4
1216.3643729482608	1126.3695330423134	4.44
1208.2781738441	1122.4841494917987	4.48
1202.9084177909754	1112.580554703227	4.52
1188.1065228084594	1098.7877825974783	4.56
1168.5838602979272	1081.6209006250463	4.6
1157.415825940928	1066.2380295494447	4.64
1140.0237620260084	1056.7479744841855	4.68
1134.2225939724497	1047.005070129422	4.72
1121.9684791239938	1047.2379943902538	4.76
1123.9657535853578	1059.2350443245475	4.8
1127.3793861107813	1067.1868505974269	4.84
1129.3553986154602	1059.889692483667	4.88
1130.4676069214254	1069.7137665745	4.92
1139.703937616776	1069.0325101072915	4.96
1135.0693738632817	1078.0936940626925	5.0
1137.95054419968	1040.8152921772623	5.04
1119.3698729011733	1037.336617206155	5.08
1115.224774167361	1036.1057634932731	5.12
1109.1151469771294	1027.3933617299008	5.16
1082.8455379632298	987.100356907331	5.2
1067.2314992843376	970.3619725802532	5.24
1063.4370821163043	976.5113338305748	5.28
1058.951773889095	973.5287689759176	5.32
1090.2172362572192	1002.4129925954514	5.36
1113.9662668196754	1030.2479420395377	5.4
1138.3774363970085	1045.5183323797733	5.44
1174.5842443240888	1085.6794748632935	5.48
1204.9769619449016	1107.7361830551115	5.52
1243.9781990014544	1134.4915583422903	5.56
1280.6921996766214	1180.9676728926797	5.6
1319.2412153620387	1209.9900607112618	5.64
1354.4170519045203	1259.4066466940158	5.68
1394.3758680101882	1287.3095108831897	5.72
1432.7173206251452	1320.5149934705541	5.76
1451.2456116730666	1348.627312149674	5.8
1468.6062585120183	1350.1248186560463	5.84
1475.4165821649297	1355.4094456759578	5.88
1472.994183015976	1353.1140002834884	5.92
1469.7049738219614	1353.2476082133583	5.96
1475.0339065219432	1360.021109027009	6.0
1469.533557752897	1356.7212969502552	6.04
1483.7194723069492	1356.36940782473	6.08
1479.8421208099476	1355.585921000087	6.12
1471.9524828219528	1357.9413481187605	6.16
1474.9254866136694	1359.3497822811757	6.2
1476.5242637689623	1357.9927876266368	6.24
1470.957734339515	1353.2748439177028	6.28
1463.2144049880385	1355.9376853642025	6.32
1458.6928472208024	1353.888981868606	6.36
1457.6349502532019	1353.8590541503315	6.4
1445.270631953705	1337.2947058596358	6.44
1446.3812283029897	1335.0271808315465	6.48
1444.3337038723491	1332.3791773124474	6.52
1435.2249262453686	1321.7061748117312	6.56
1424.872974295849	1317.0559312478863	6.6
1414.1470556931326	1303.3966534296862	6.64
1398.7344180628065	1295.6769254502053	6.68
1383.8777701996096	1282.6307291553094	6.72
